Store Name,Street Address,City,State,Zip
Nike Factory Store - Altoona,"501 Bass Pro Drive, Suite 420",Altoona,"IA,",50009-7612
Nike Factory Store - Des Moines,7105 Mills Civic Pkwy. #140,West Des Moines,"IA,",50266-8317
Nike Factory Store - Kansas City,1803 Village W Pkwy. #M-125,Kansas City,"KS,",66111-1902
Nike Factory Store - Simpsonville,"1155 Buck Creek Rd, Ste 202",Simpsonville,"KY,",40067-7688
Nike Well Collective - Lexington,"4084 Finn Way, Suite 130",Lexington,"KY,",40517-8388
Nike Well Collective - Louisville,"7900 Shelbyville Rd, C02",Louisville,"KY,",40222-5475
Nike Community Store - Elmwood,"1134 S Clearview Pkwy, STE G",Elmwood,"LA,",70123-7506
Nike Factory Store - Gonzales,"2210 Tanger Blvd, Suite 225",Gonzales,"LA,",70737-5764
Nike Unite - Baton Rouge,7445 Corporate Blvd. #600,Baton Rouge,"LA,",70809-9101
Nike Factory Store - Kittery,"345 US Route 1, Suite 1",Kittery,"ME,",03904-6509
Nike Clearance Store - White Marsh,8115A Honeygo Blvd.,Baltimore,"MD,",21236-8211
Nike Factory Store - Clarksburg,22705 Clarksburg Road Ste 900,Clarksburg,"MD,",20871-6386
Nike Factory Store - Hanover,"7000 Arundel Mills Cir., #372",Hanover,"MD,",21076-1288
Nike Factory Store - National Harbor,"6800 Oxon Hill Road, Suite 500",National Harbor,"MD,",20745-4715
Nike Factory Store - Queenstown,199 Outlet Center Drive Suite E053,Queenstown,"MD,",21658-1398
Nike Unite - Glenarden,2250 Petrie Ln,Lanham,"MD,",20706-1637
Nike Unite - Silver Spring,910 Ellsworth Dr.,Silver Spring,"MD,",20910-4401
Nike Well Collective - Bethesda,7117 Arlington Road Space U,Bethesda,"MD,",20814-7910
Nike Boston,200 Newbury Street,Boston,"MA,",02116-2504
Nike Factory Store - Dorchester,33 District Avenue,Dorchester,"MA,",02125-1683
Nike Factory Store - Somerville,300 Artisan Way,Somerville,"MA,",02145-1228
Nike Factory Store - Wrentham,One Premium Outlets Blvd. #600,Wrentham,"MA,",02093-2102
Nike Unite - Watertown,20 Eldridge Ave,Watertown,"MA,",02472-2994
Nike Well Collective - Chestnut Hill,"33 Boylston St, Suite 4830",Chestnut Hill,"MA,",02467-1731
Nike Well Collective - Dedham,222 Legacy Place,Dedham,"MA,",02026-6836
Nike Well Collective - Hingham,928 Derby St STE 98,Hingham,"MA,",02043-4218
Nike Well Collective - Lynnfield,1125 Market Street,Lynnfield,"MA,",01940-4050
Nike Well Collective - Natick,"1245 Worcester St, Suite #3072",Natick,"MA,",01760-1546
Nike Clearance Store - Auburn Hills,"4680 Baldwin Rd., Space M903",Auburn Hills,"MI,",48326-1282
Nike Community Store - Detroit,1261 Woodward Ave,Detroit,"MI,",48226-2006
Nike Factory Store - Birch Run,"12158 Beyer Rd., UNIT 10",Birch Run,"MI,",48415-9411
Nike Factory Store - Grand Rapids,"350 84th Street SW, Suite 300",Byron Center,"MI,",49315-7004
Nike Factory Store - Howell,1475 N Burkhart Rd. STE C-200,Howell,"MI,",48855-8288
Nike Somerset Collection North,"2800 W Big Beaver Rd, R236",Troy,"MI,",48084-3219
Nike Factory Store - Albertville,"6415 Lebeaux Ave. N, STE A10",Albertville,"MN,",55301-8800
Nike Factory Store - Eagan,3905 Eagan Outlets Pkwy. #200,Eagan,"MN,",55122-4410
Nike Mall of America,227 West Market,Bloomington,"MN,",55425
Nike Well Collective - Minnetonka,12401 Wayzata Blvd. Ste 2096,Minnetonka,"MN,",55305-1925
Nike Factory Store - Gulfport,10700 Factory Shops Blvd.,Gulfport,"MS,",39503-4234
Nike Factory Store - Pearl,"200 Bass Pro Drive, Suite 225",Pearl,"MS,",39208-9249
Nike Factory Store - Southaven,5205 Airways Blvd. #600,Southaven,"MS,",38671-6539
Nike Factory Store - Branson,300 Tanger Blvd. STE460,Branson,"MO,",65616-2188
Nike Factory Store - Chesterfield,18521 Outlet Blvd. Suite 500,Chesterfield,"MO,",63005-0013
Nike Well Collective - Frontenac,"1701 S Lindbergh Blvd, Ste 3A",Saint Louis,"MO,",63131-3506
Nike Well Collective - Kansas City,450 Nichols Rd,Kansas City,"MO,",64112-2005
Nike Factory Store - Omaha,"21351 Nebraska Crossing Dr, #A-129",Gretna,"NE,",68028-7371
Nike Clearance Store - Las Vegas South,"7400 S Las Vegas Blvd., BOX 1",Las Vegas,"NV,",89123-1001
Nike Factory Store - Las Vegas North,905 S Grand Central Pkwy #1775,Las Vegas,"NV,",89106-4543
Nike Las Vegas,"3500 Las Vegas Blvd South, M-5",Las Vegas,"NV,",89109-8975
Nike Unite - Henderson,9851 South Eastern Avenue,Las Vegas,"NV,",89183-6900
Nike Unite - Reno,1330 Scheels Dr. Suite F162,Sparks,"NV,",89434-4419
Nike Well Collective - Red Rock,2010 Festival Plaza Dr. #100,Las Vegas,"NV,",89135-1453
Nike Factory Store - Merrimack,80 Premium Outlets Blvd. STE701,Merrimack,"NH,",03054-4779
Nike Unite - Salem,6 South Village Drive Ste. 200,Salem,"NH,",03079-3298
Nike Factory Store - Atlantic City,30 N Arkansas Ave. Suite 1110,Atlantic City,"NJ,",08401-4112
Nike Factory Store - Jackson,"537 Monmouth Rd., Suite 340",Jackson,"NJ,",08527-5368
Nike Factory Store - Jersey Gardens,"651 Kapkowski Rd., Space 150",Elizabeth,"NJ,",07201-4929
Nike Factory Store - Newark,697 Broad Street,Newark,"NJ,",07102-4405
Nike Factory Store - Paramus,810 Bergen Town Center #37,Paramus,"NJ,",07652-5010
Nike Factory Store - Tinton Falls,One Premium Outlets Blvd. Suite 699,Tinton Falls,"NJ,",07753-7479
Nike Unite - Gloucester,100 Premium Outlets Dr #140,Blackwood,"NJ,",08012-3863
Nike Unite - Princeton,3357 Brunswick Pike Suite 33,Lawrenceville,"NJ,",08648-0000
Nike Well Collective - Hoboken,222 WASHINGTON ST,Hoboken,"NJ,",07030-4709
Nike Well Collective - Marlton,500 Route 73 South,Marlton,"NJ,",08053-8000
Nike Well Collective - Shrewsbury,601 Route 35,Shrewsbury,"NJ,",07702-4150
Nike Well Collective - Woodcliff Lake,415 Chestnut Ridge Road,Woodcliff Lake,"NJ,",07677-7679
Nike Clearance Store - Flushing Queens,40-24 College Point Blvd. STE B204,Flushing,"NY,",11354-5111
Nike Clearance Store - Niagara Falls,"1886 Military Rd., Space 91-A",Niagara Falls,"NY,",14304-1772
Nike Factory Store - Deer Park,"102 The Arches Cir., Space 102",Deer Park,"NY,",11729-7057
Nike Factory Store - Finger Lakes,"655 Route 318, Suite 13",Waterloo,"NY,",13165-5569
Nike Factory Store - Oceanside,3557 Long Beach Rd.,Oceanside,"NY,",11572-5702
Nike Factory Store - Riverhead,"200 Tanger Mall Dr., Suite 1520",Riverhead,"NY,",11901-6402
Nike Factory Store - Staten Island,"15 Richmond Terrace, Suite 300",Staten Island,"NY,",10301-1986
Nike Factory Store - Woodbury,600 Race Track Lane,Central Valley,"NY,",10917-6203
Nike House of Innovation NYC,650 5th Avenue,New York,"NY,",10019-6108
Nike Soho,529 Broadway,New York,"NY,",10012-3927
Nike Unite - East New York,410 Gateway Drive,Brooklyn,"NY,",11239-2824
Nike Unite - Harlem,5 W. 125th Street,New York,"NY,",10027-4861
Nike Unite - North Bronx,340 Baychester Ave.,Bronx,"NY,",10475-4588
Nike Well Collective - Battery Park,"200 Vesey Street, Suite #118",New York,"NY,",10281-5524
Nike Well Collective - Manhasset,"1950 Northern Blvd., Space A-2",Manhasset,"NY,",11030-3549
Nike Well Collective - Scarsdale,696 WHITE PLAINS RD,Scarsdale,"NY,",10583-5028
Nike Well Collective - Upper East Side,1131 3rd Ave,New York,"NY,",10065-6229
Nike Well Collective - Williamsburg,81 North 6th Street,Brooklyn,"NY,",11249-3001
Nike Clearance Store - Concord,8341 Concord Mills Blvd. #429,Concord,"NC,",28027-6460
Nike Factory Store - Asheville,"800 Brevard Road, Ste 687",Asheville,"NC,",28806-2349
Nike Factory Store - Charlotte,5518 New Fashion Way Suite 590,Charlotte,"NC,",28278-0066
Nike Factory Store - Mebane,"4000 Arrowhead Blvd, #310",Mebane,"NC,",27302-7648
Nike Factory Store - Smithfield,1025 Outlet Center Dr. #900,Smithfield,"NC,",27577-6039
Nike Well Collective - Cary,"4 Fenton Main St, Suite #140",Cary,"NC,",27511-7746
Nike Factory Store - Aurora,549 S. Chillocothe Rd.,Aurora,"OH,",44202-7804
Nike Factory Store - Cincinnati,505 Premium Outlet Drive,Monroe,"OH,",45050-1835
Nike Factory Store - Columbus,"400 South Wilson Road, Ste 400",Sunbury,"OH,",43074-7536
Nike Well Collective - Crocker Park,236 Main Street,Westlake,"OH,",44145-8146
Nike Well Collective - Easton,3964 Townsfair Way,Columbus,"OH,",43219-6067
Nike Well Collective - Pinecrest,"400 Park Ave., Ste 172",Orange Village,"OH,",44122-4234
Nike Factory Store - Oklahoma City,7654 West Reno Ave STE 760,Oklahoma City,"OK,",73127-9775
Nike Unite - Tulsa,"801 East 103rd Street S, Suite 4150",Jenks,"OK,",74037
Nike Factory Store - Bend,"61334 S Hwy. 97, Suite 430",Bend,"OR,",97702-3287
Nike Factory Store - Lincoln City,1500 SE E Devil Lake Rd. #105,Lincoln City,"OR,",97367-2661
Nike Factory Store - Seaside,"1111 N Roosevelt, Suite 400",Seaside,"OR,",97138-4606
Nike Factory Store - Woodburn,"1001 Arney Rd., Suite 810",Woodburn,"OR,",97071-8458
Nike Pioneer Place,"700 SW 5th Ave, 2005",Portland,"OR,",97204-2055
Nike Well Collective - Bridgeport Village,7293 SW Bridgeport Rd,Tigard,"OR,",97224-7765
Nike Well Collective - Eugene,590 Pearl Street Suite 100,Eugene,"OR,",97401-2780
Nike Factory Store - Downtown Philadelphia,"901 Market Street, #1095",Philadelphia,"PA,",19107-3132
Nike Factory Store - Grove City,1911 Leesburg Grove Cty Rd #700,Grove City,"PA,",16127-3356
Nike Factory Store - Lancaster,311 Stanley K Tanger Blvd. STE 630,Lancaster,"PA,",17602-1467
Nike Factory Store - Pittsburgh,"2200 Tanger Blvd., Suite 735",Washington,"PA,",15301-7939
Nike Factory Store - Pottstown,18 W Lightcap Rd. Suite 901,Pottstown,"PA,",19464-7822
Nike Factory Store - Tannersville,"1000 Route 611, #G205",Tannersville,"PA,",18372-7918
Nike King of Prussia,"160 N Gulph Rd, Suite 2336",King of Prussia,"PA,",19406-2953
Nike Unite - Hershey,137 Outlet Square,Hershey,"PA,",17033-2747
Nike Well Collective - Ardmore,61 Anderson Avenue,Ardmore,"PA,",19003-2423
Nike Factory Store - Barceloneta,1 Premium Outlets Blvd. #940,Barceloneta,"PR,",00617-2560
Nike Factory Store - San Juan,Los Romeros Ave #9410,San Juan,"PR,",00926-7007
Nike Well Collective - Cranston,74 Hillside Rd,Cranston,"RI,",02920-5619
Nike Factory Store - Bluffton,1414 Fording Island Rd. #D-100,Bluffton,"SC,",29910-6583
Nike Factory Store - Charleston,"4840 Tanger Outlet Blvd., #491",North Charleston,"SC,",29418-6958
Nike Factory Store - Gaffney,One Factory Shops Blvd.#855,Gaffney,"SC,",29341-3321
Nike Factory Store - Myrtle Beach,4642 Factory Stores Blvd #FF100,Myrtle Beach,"SC,",29579-0963
Nike Clearance Store - Memphis,4099 S Plaza,Memphis,"TN,",38116-6334
Nike Clearance Store - Pigeon Forge,"2655 Teaster Lane, Suite 305",Pigeon Forge,"TN,",37863-3475
Nike Factory Store - Nashville,167 Opry Mills Dr.,Nashville,"TN,",37214-2433
Nike Factory Store - Sevierville,"1645 Parkway, Suite 1250",Sevierville,"TN,",37862-6867
Nike Unite - Antioch,"4060 Cane Ridge Parkway,#301",Antioch,"TN,",37013-5552
Nike Unite - Knoxville,11275 Parkside Dr.,Knoxville,"TN,",37934-1964
Nike Well Collective - Downtown Nashville,5046 Broadway Place,Nashville,"TN,",37203-5765
Nike Clearance Store - Grapevine,3000 Grapevine Mills Pkwy. STE 611,Grapevine,"TX,",76051-2020
Nike Clearance Store - Laredo,1600 Water St. Suite A-100,Laredo,"TX,",78040-5949
Nike Clearance Store - McAllen,"3300 W Expwy 83, Suite 500",McAllen,"TX,",78501-8361
Nike Clearance Store - Pasadena,5726 Fairmont Parkway,Pasadena,"TX,",77505-3906
Nike Factory Store - Allen,"820 W Stacy Rd., Suite 356",Allen,"TX,",75013-4921
Nike Factory Store - Canutillo,7051 S Desert Blvd. Suite H800,Canutillo,"TX,",79835-8594
Nike Factory Store - Cypress,29300 Hempstead Rd. Suite 501,Cypress,"TX,",77433-4255
Nike Factory Store - Fort Worth,"15861 North Freeway, STE 800",Fort Worth,"TX,",76177-3352
Nike Factory Store - Grand Prairie,2950 W Interstate 20 Suite 755,Grand Prairie,"TX,",75052-8037
Nike Factory Store - Katy Mills,5000 Katy Mills Cir. Suite 202,Katy,"TX,",77494-4404
Nike Factory Store - Lubbock,"2910 West Loop 289, Ste 805",Lubbock,"TX,",79407-1649
Nike Factory Store - Mercedes,5001 E Expy. 83 Suite 120,Mercedes,"TX,",78570-4573
Nike Factory Store - Round Rock,4401 N Interstate 35 #399,Round Rock,"TX,",78664-2675
Nike Factory Store - San Marcos,3939 Interstate 35 N Suite 798,San Marcos,"TX,",78666-5959
Nike Factory Store - Terrell,"301 Tanger Dr., Suite 101",Terrell,"TX,",75160-6653
Nike Factory Store - Texas City,"5885 Gulf Freeway, Suite 115",Texas City,"TX,",77591-7053
Nike NorthPark,"8687 N Central Expy, Suite 1620",Dallas,"TX,",75225-4500
Nike Unite - The Quarry,255 E. Basse Rd STE1040,San Antonio,"TX,",78209-8338
Nike Well Collective - CityCentre,"822 Town and Country Blvd, #106",Houston,"TX,",77024-4659
Nike Well Collective - Domain Northside,"11600 Rock Rose Ave, Suite W4",Austin,"TX,",78758-7976
Nike Well Collective - La Cantera,"15900 La Cantera Pkwy, STE 1600",San Antonio,"TX,",78256-2587
Nike Well Collective - Legacy West,"7400 Windrose Ave., Suite B105",Plano,"TX,",75024-0161
Nike Well Collective - South Congress,1221 South Congress Ave,Austin,"TX,",78704-2403
Nike Well Collective - Southlake,167 Grand Avenue,Southlake,"TX,",76092-7606
Nike Well Collective - The Woodlands,"9595 Six Pines Dr., Suite 885",The Woodlands,"TX,",77380-1531
Nike Well Collective - University Park Village,1540 S. University Dr. Suite 112,Fort Worth,"TX,",76107-6508
Nike Factory Store - Farmington,210 North Station Parkway,Farmington,"UT,",84025-2881
Nike Factory Store - Park City,6699 N Landmark Dr. #L-100,Park City,"UT,",84098-4529
Nike Factory Store - West Jordan,3736 W Center Park Dr.#120,West Jordan,"UT,",84084-5534
Nike Unite - Lehi,3700 N Cabelas Blvd STE 301,Lehi,"UT,",84043-3882
Nike Well Collective - Riverton,13348 Teal Ridge Way Suite N-140,Riverton,"UT,",84096-0000
Nike Clearance Store - Woodbridge,2700 Potomac Mills Circle #511,Woodbridge,"VA,",22192-4656
Nike Factory Store - Leesburg,241 Fort Evans Rd. NE #510,Leesburg,"VA,",20176-4040
Nike Factory Store - Norfolk,1600 Premium Outlets Suite 301,Norfolk,"VA,",23502-5521
Nike Factory Store - Williamsburg VA,5699-44B Richmond Rd. #16B,Williamsburg,"VA,",23188-1941
Nike Unite - Fairfax,13027 Fair Lakes Shopping Cent,Fairfax,"VA,",22033-5179
Nike Well Collective - Virginia Beach,4537 Main St.,Virginia Beach,"VA,",23462-3272
Nike Bellevue Square,565 Bellevue Square,Bellevue,"WA,",98004-5021
Nike Clearance Store - Auburn,1101 Outlet Collection Way STE 1058,Auburn,"WA,",98001-0000
Nike Clearance Store - Centralia,109 W High St. Suite 223,Centralia,"WA,",98531-2121
Nike Factory Store - Bellevue,4026 Factoria Square Mall SE #A01,Bellevue,"WA,",98006-1242
Nike Factory Store - North Bend,"661 S Fork Ave., Suite H",North Bend,"WA,",98045-8936
Nike Factory Store - Spokane,618 W Main Ave,Spokane,"WA,",99201-0641
Nike Factory Store - Tulalip,10600 Quil Ceda Blvd. #400,Tulalip,"WA,",98271-8093
Nike Clearance Store - Johnson Creek,"575 W. Linmar Lane, Suite A10",Johnson Creek,"WI,",53038-9543
Nike Factory Store - Oshkosh,"3001 South Washburn, Suite A10",Oshkosh,"WI,",54904-9008
Nike Factory Store - Pleasant Prairie,"11211 120Th Ave., Suite 80",Pleasant Prairie,"WI,",53158-1710
Nike Factory Store - Wisconsin Dells,"210 Gasser Rd., Suite 790",Baraboo,"WI,",53913-9535
Nike Well Collective - Bayshore,5695 N Centerpark Way #N127,Glendale,"WI,",53217-4539
