Store Name,Address,City,State,Zip,Phone
Jenkintown Running Company,416 York Road,Jenkintown,PA,19046,(215) 887-2848
Varsity Sports Mandeville,2021 Claiborne St,Mandeville,LA,70448,(985) 624-8200
Varsity Sports Lakeview,525 Harrison Ave,New Orleans,LA,70124,(504) 766-7830
Pacers Princeton,7 Palmer Square W,Princeton,NJ,08542,(609) 454-5429
Fleet Feet - Princeton Running Company,108 Nassau St,Princeton,NJ,08542,(609) 252-9110
Varsity Sports Baton Rouge,2055 Perkins Rd,Baton Rouge,LA,70808,(225) 383-8913
"Fit2Run, The Runner's Superstore - Gainesville",6419 W Newberry Rd H0015,Gainesville,FL,32605,(352) 872-5860
Varsity Sports New Orleans,5707 Magazine St.,New Orleans,LA,70115,(504) 899-4144
Sneaker Factory Running Centers- Basking Ridge,25 Mountainview Blvd,Basking Ridge,NJ,07920,(908) 542-1212
Fleet Feet - Morristown,31 South St,Morristown,NJ,07960,(973) 401-1300
Fleet Feet - Westfield,123 Quimby St,Westfield,NJ,07090,(908) 654-9900
Fleet Feet - Summit,355 Springfield Ave #1,Summit,NJ,07901,(908) 516-2357
Fleet Feet - Ridgewood,258 E Ridgewood Ave,Ridgewood,NJ,07450,(201) 670-1828
Fleet Feet - Hoboken - Washington St,127 Washington St,Hoboken,NJ,07030,(201) 984-3952
Road Runner Sports - Paramus,65 Route 4 West,Paramus,NJ,07652,(201) 226-0035
Fleet Feet - Brooklyn,474 5th Ave,Brooklyn,NY,11215,(917) 780-4446
Fleet Feet - Union Square,42 W 14th St,New York,NY,10011,(646) 355-1982
Paragon Sports,867 Broadway,New York,NY,10003,(800) 961-3030
Fleet Feet - NY Time Warner,10 Columbus Cir,New York,NY,10019,(212) 823-9626
Fleet Feet - West Side,140 W 72nd St,New York,NY,10023,(917) 338-4988
Fleet Feet - NY East Side,1051 3rd Ave,New York,NY,10065,(212) 223-8109
Fleet Feet - Bronxville,52 Pondfield Road,Bronxville,NY,10708,(914) 337-7177
Red Coyote Running and Fitness Edmond,1300 W Covell Rd #120,Edmond,OK,73003,(405) 285-9955
Fleet Feet Poughkeepsie,1895 South Rd,Poughkeepsie,NY,12601,(845) 276-3338
Red Coyote Running and Fitness OKC,5720 N Classen Boulevard,Oklahoma City,OK,73118,(405) 840-0033
Darien Running,14 Brook St,Darien,CT,06820,(203) 202-7492
Ridgefield Running,423 Main St,Ridgefield,CT,06877,(203) 438-7778
Marathon Sports - Fairfield,1596 Post Rd,Fairfield,CT,06824,(203) 292-9466
Fleet Feet - RunOn! - McKinney,5180 Eldorado Pkwy,McKinney,TX,75070,(972) 540-0333
Fleet Feet - RunOn! - Frisco,8300 Gaylord Pkwy #21,Frisco,TX,75034,(469) 287-5226
"Fit2Run, The Runner's Superstore - Mall at Millenia",4200 Conroy Rd Space #H204,Orlando,FL,32839,(407) 440-9299
Fleet Feet - RunOn! - Richardson,1465 W Campbell Rd,Richardson,TX,75080,(972) 231-8260
"Fit2Run, The Runner's Superstore - Wesley Chapel","28139 Paseo Drive, Suite # 125",Wesley Chapel,FL,33543,(813) 596-9887
Fleet Feet - RunOn! - Dallas Preston/Forest,11811 Preston Rd,Dallas,TX,75230,(214) 272-0095
"Fit2Run, The Runner's Superstore - Disney Springs",1520 East Buena Vista Drive Space 107,Lake Buena Vista,FL,32830,(407) 743-5990
Fleet Feet - RunOn! - Dallas Mockingbird,5400 E Mockingbird Ln,Dallas,TX,75206,(214) 821-0909
"Fit2Run, The Runner's Superstore - Clearwater",27001 US Hwy Rd Space # 1062,Clearwater,FL,33761,(727) 285-8400
Marathon Sports - Branford,1088 Main St,Branford,CT,06405,(203) 483-8222
Fleet Feet - RunOn! - Coppell,680 N Denton Tap Rd,Coppell,TX,75019,(972) 956-5550
"Fit2Run, The Runner's Superstore - Tampa",2223 N Westshore Blvd,Tampa,FL,33607,(813) 873-2786
"Fit2Run, The Runner's Superstore - Brandon",459 Brandon Town Center Mall Space 628,Brandon,FL,33511,(813) 278-6603
"Fit2Run, The Runner's Superstore - St Pete",256 2nd St N,St. Petersburg,FL,33701,(727) 822-2786
Marathon Sports - Glastonbury,63 Hebron Ave,Glastonbury,CT,06033,(860) 430-6712
Marathon Sports - Old Saybrook,238 Main St,Old Saybrook,CT,06475,(860) 388-3800
Fleet Feet - RunOn! - Ft. Worth,2600 W 7th St suite 107,Fort Worth,TX,76107,(817) 289-7575
Marathon Sports - Northampton,34 Pleasant St,Northampton,MA,01060,(413) 517-0059
"Fit2Run, The Runner's Superstore - UTC",140 University Town Center Dr,Sarasota,FL,34243,(941) 358-5100
"Fit2Run, The Runner's Superstore - Downtown Sarasota",1400 Main St,Sarasota,FL,34236,(941) 364-2600
Fleet Feet Sarasota: 941-894-3338 Walk In's Welcome or You Can Make An Appointment,711 S Osprey Ave #1,Sarasota,FL,34236,(941) 894-3338
Fleet Feet The Woodlands,1925 Hughes Landing Blvd,The Woodlands,TX,77380,(936) 321-1500
Marathon Sports - Shrewsbury,50 Boston Turnpike,Shrewsbury,MA,01545,(508) 425-3030
Fleet Feet River Oaks,2012 W Gray St,Houston,TX,77019,(713) 487-2111
Omer & Bob's,20 Hanover St,Lebanon,NH,03766,(603) 448-3522
Marathon Sports - Mansfield,287 School St,Mansfield,MA,02048,(774) 719-2523
Fleet Feet Sugarland,15890 Southwest Fwy #600,Sugar Land,TX,77478,(281) 240-2215
Marathon Sports - Wellesley,255 Washington St,Wellesley,MA,02481,(781) 237-0771
Marathon Sports - Lexington,1728 Massachusetts Ave,Lexington,MA,02421,(781) 863-0200
Runner's Alley - Manchester,669 Elm St,Manchester,NH,03101,(603) 606-6949
Runner's Alley - Concord,142 N Main St,Concord,NH,03301,(603) 715-5854
Marathon Sports - Brookline,1638 Beacon St,Brookline,MA,02445,(617) 735-9373
Marathon Sports - Cambridge,1654 Massachusetts Ave,Cambridge,MA,02138,(617) 354-4161
Marathon Sports - Boston,671 Boylston St,Boston,MA,02116,(617) 267-4774
Marathon Sports - Melrose,401 Main St,Melrose,MA,02176,(781) 662-0091
Marathon Sports - Norwell,134 Washington St,Norwell,MA,02061,(781) 871-2979
Marathon Sports - Salem,9 Paradise Rd,Salem,MA,01907,(978) 306-7260
Marathon Sports - Plymouth,9 Court Street,Plymouth,MA,02360,(508) 591-8422
"Fit2Run, The Runner's Superstore - Estero",23190 Fashion Dr Suite 109,Estero,FL,33928,(239) 947-2786
Marathon Sports - Newburyport,27 Water St,Newburyport,MA,01950,(978) 255-1737
"Fit2Run, The Runner's Superstore - Palm Beach",3101 PGA Blvd Suite N221,Palm Beach Gardens,FL,33410,(561) 972-2909
"Fit2Run, The Runner's Superstore - Wellington",10300 W Forest Hill Blvd #287,Wellington,FL,33414,(561) 753-9343
Runner's Alley - Portsmouth,104 Congress Street,Portsmouth,NH,03801,(603) 430-1212
"Fit2Run, The Runner's Superstore - Naples",1810 Tamiami Trail N,Naples,FL,34102,(239) 263-3811
Marathon Sports - Yarmouth,484 Station Ave,South Yarmouth,MA,02664,(508) 694-6385
Fleet Feet - Gateway,9901 N Capital of Texas Hwy #160,Austin,TX,78759,(512) 795-2022
Get Fit,1911 S Georgia St,Amarillo,TX,79109,(806) 350-4262
iRun Texas Stone Oak,"20079 Stone Oak Pkwy, Suite 3120",San Antonio,TX,78258,(210) 494-7869
iRun Texas Bitters,"2602 NW TX-1604 Loop, Bldg 1, Ste #106",San Antonio,TX,78248,(210) 479-7200
iRun Texas Dominion,"22211 IH-10 West, Ste #1107A",San Antonio,TX,78257,(210) 698-7869
Fleet Feet - Boulder Running Company - Colorado Springs,3659 Austin Bluffs Pkwy,Colorado Springs,CO,80918,(719) 278-3535
Fleet Feet - Boulder Running Company - Greenwood Village,8545 E Arapahoe Rd,Greenwood Village,CO,80112,(303) 770-5131
Runners Roost Lone Tree,"9994 Commons St, Suite 230",Lone Tree,CO,80124,(720) 536-5879
Fleet Feet - Boulder Running Company - Cherry Creek,2500 E 1st Ave,Denver,CO,80206,(303) 847-4123
Fleet Feet - Boulder Running Company - Littleton,8116 W Bowles Ave,Littleton,CO,80123,(303) 932-6000
Fleet Feet - Boulder Running Company - Boulder,2775 Pearl St,Boulder,CO,80302,(303) 786-9255
Heart & Sole Sports,2817 San Mateo Blvd NE,Albuquerque,NM,87110,(505) 884-5300
Salt Lake Running Company - Foothill Village,1356 Foothill Dr,Salt Lake City,UT,84108,(801) 582-1919
Salt Lake Running Company - 700 East,2454 S 700 E,Salt Lake City,UT,84106,(801) 484-9144
Salt Lake Running Company - Centerville,316 N Marketplace Dr,Centerville,UT,84014,(801) 296-8786
Salt Lake Running Company - Sandy,8946 State St,Sandy,UT,84070,(801) 566-8786
Fleet Feet - Striders - Ogden,1937 Washington Blvd,Ogden,UT,84401,(801) 621-1444
Fleet Feet - Striders - Layton,1776 N Hill Field Rd # 4,Layton,UT,84041,(801) 728-9121
Road Runner Sports - Scottsdale,7077 E Mayo Blvd Suite 150,Phoenix,AZ,85054,(480) 513-1774
Road Runner Sports - Tempe,43 S McClintock Dr,Tempe,AZ,85281,(480) 968-2022
Tortoise & Hare Sports,17570 N 75th Ave #605,Glendale,AZ,85308,(623) 792-7900
Runner's Edge,304 N Higgins Ave,Missoula,MT,59802,(406) 728-9297
Fleet Feet Meridian,3573 E Longwing Ln #105,Meridian,ID,83646,(208) 888-0359
Fleet Feet Spokane Valley,13910 E Indiana Ave,Spokane Valley,WA,99216,(509) 309-2174
Fleet Feet Spokane,1315 W Summit Pkwy,Spokane,WA,99201,(509) 328-4786
Fleet Feet North Spokane,10208 N Division St. Suite 103,Spokane,WA,99218,(509) 474-0648
Running Center,28751 Rancho California Rd #106,Temecula,CA,92590,(951) 587-8450
Road Runner Sports - San Diego,5553 Copley Dr,San Diego,CA,92111,(858) 974-4455
A Snail's Pace Running Shop,24451 Alicia Parkway,Mission Viejo,CA,92691,(949) 707-1460
Road Runner Sports - Laguna Hills,24291 Avenida De La Carlota P-5,Laguna Hills,CA,92653,(949) 855-9252
A Snail's Pace Running Shop,1040 E Imperial Hwy,Brea,CA,92821,(714) 529-6313
"Fit2Run, The Runner's Superstore - San Juan",1000 Mall of San Juan Blvd.,San Juan,PR,00924,(787) 302-0443
A Snail's Pace Running Shop,750 S Myrtle,Monrovia,CA,91016,(626) 471-9101
A Snail's Pace Running Shop,8780 Warner Ave,Fountain Valley,CA,92708,(714) 842-2337
Reno Running Company (Summit),13987 S Virginia St,Reno,NV,89511,(775) 853-8017
Fleet Feet Bonney Lake,19685 WA-410,Bonney Lake,WA,98391,(253) 862-8890
Fleet Feet PDX - Vancouver,16020 SE Mill Plain Blvd #113,Vancouver,WA,98684,(360) 885-4556
Brooks Trailhead,3400 Stone Way N,Seattle,WA,98103,(206) 858-5700
Fleet Feet Tacoma,3812 N 26th St,Tacoma,WA,98407,(253) 272-8890
Road Runner Sports - Tualatin,7063 SW Nyberg St,Tualatin,OR,97062,(503) 691-2515
Portland Running Company,10029 SW Nimbus Ave,Beaverton,OR,97008,(503) 524-7570
Road Runner Sports - Campbell,1646 S. Bascom Ave.,Campbell,CA,95008,(408) 796-6979
Road Runner Sports - San Carlos,1125 Industrial Rd d,San Carlos,CA,94070,(650) 654-2603
Skinny Raven Sports,800 H St,Anchorage,AK,99501,(907) 274-7222
Skinny Raven Dimond,2727 W Dimond Blvd,Anchorage,AK,99502,(907) 339-9991
